lon,lat,dominant,total,n_red_kangaroo,n_eastern_grey_kangaroo,n_koala,n_emu,n_platypus
150.25,-28.25,emu,48,1,3,0,44,0
143.75,-30.75,emu,125,10,3,0,112,0
138.75,-32.75,red_kangaroo,450,346,0,0,104,0
141.25,-25.25,emu,22,1,0,0,21,0
146.75,-19.75,emu,109,1,21,3,84,0
124.25,-28.25,emu,13,1,0,0,12,0
129.25,-31.75,emu,17,2,0,0,15,0
118.75,-22.25,emu,14,1,0,0,13,0
144.25,-34.75,emu,229,6,11,0,212,0
145.75,-32.25,emu,123,6,2,0,115,0
147.25,-21.25,emu,11,2,0,2,7,0
132.75,-25.75,red_kangaroo,36,36,0,0,0,0
146.75,-21.25,emu,11,2,3,1,5,0
148.25,-28.75,emu,34,1,3,2,28,0
140.25,-27.75,red_kangaroo,53,43,0,0,10,0
140.25,-33.25,red_kangaroo,468,325,0,0,143,0
147.75,-32.75,emu,58,1,23,3,31,0
139.25,-26.75,emu,21,1,0,0,20,0
148.75,-28.25,emu,132,1,23,6,101,1
146.75,-35.75,eastern_grey_kangaroo,534,2,506,4,4,18
147.25,-34.25,eastern_grey_kangaroo,61,1,42,0,18,0
133.25,-24.75,emu,17,5,0,0,12,0
139.75,-32.75,red_kangaroo,838,623,1,0,214,0
140.25,-20.75,emu,25,1,0,0,24,0
148.75,-26.75,emu,115,1,20,7,87,0
116.75,-29.75,emu,39,2,0,0,37,0
142.75,-23.25,emu,38,1,0,0,37,0
138.25,-29.75,red_kangaroo,738,533,0,0,205,0
150.25,-27.25,emu,39,1,5,9,24,0
135.25,-32.25,emu,1364,161,0,0,1203,0
149.25,-29.25,emu,656,4,26,19,607,0
137.75,-19.75,red_kangaroo,99,99,0,0,0,0
134.25,-19.75,red_kangaroo,14,7,0,0,7,0
145.75,-19.75,emu,61,1,2,4,54,0
138.25,-22.25,red_kangaroo,20,15,0,0,5,0
141.25,-33.75,emu,179,32,0,0,147,0
143.25,-29.75,emu,59,2,0,0,57,0
115.75,-28.75,emu,19,2,0,0,17,0
117.75,-28.75,emu,46,1,0,0,45,0
152.25,-27.75,koala,2969,1,128,2810,0,30
151.75,-30.25,koala,6257,1,2722,3504,9,21
138.75,-34.75,koala,5020,4,10,4256,749,1
134.25,-21.25,red_kangaroo,14,12,0,0,2,0
152.75,-27.75,koala,6335,1,595,5585,4,150
115.25,-29.75,emu,64,1,0,0,63,0
116.25,-31.75,emu,780,2,0,0,778,0
146.25,-28.25,eastern_grey_kangaroo,184,20,92,0,72,0
148.75,-35.25,emu,1964,1,628,45,878,412
138.25,-31.75,red_kangaroo,832,533,0,0,299,0
138.75,-33.25,red_kangaroo,185,137,0,0,48,0
138.25,-30.75,red_kangaroo,781,487,0,0,294,0
134.25,-22.75,red_kangaroo,14,13,0,0,1,0
131.75,-25.25,red_kangaroo,61,33,0,0,28,0
115.75,-30.75,emu,24,1,0,0,23,0
148.25,-30.75,emu,159,11,22,5,120,1
138.75,-25.75,emu,29,6,0,0,23,0
146.75,-29.25,emu,87,19,4,7,57,0
146.75,-29.75,emu,159,19,10,0,130,0
134.25,-25.75,koala,81,19,5,29,6,22
139.25,-21.75,emu,10,2,0,0,8,0
146.25,-35.25,emu,277,19,29,0,226,3
148.25,-31.25,emu,179,8,22,1,148,0
144.25,-31.25,red_kangaroo,155,75,8,0,72,0
150.25,-33.75,eastern_grey_kangaroo,1943,22,1107,579,24,211
139.25,-21.25,emu,14,2,0,0,12,0
146.25,-34.75,koala,1335,7,190,996,125,17
145.25,-23.75,emu,138,1,6,7,124,0
145.75,-29.75,emu,261,5,9,0,247,0
150.25,-30.75,eastern_grey_kangaroo,2984,4,2430,533,10,7
144.75,-35.75,emu,1012,4,144,125,726,13
117.25,-28.25,emu,22,6,0,0,16,0
142.75,-31.25,red_kangaroo,135,112,0,0,23,0
151.25,-33.75,koala,934,14,383,475,24,38
149.75,-29.75,emu,91,7,20,2,62,0
144.75,-31.25,emu,24,2,0,0,22,0
147.75,-31.75,emu,318,38,82,2,195,1
143.25,-31.75,emu,132,9,2,0,121,0
133.25,-23.75,red_kangaroo,652,640,0,0,12,0
131.25,-23.25,red_kangaroo,30,27,0,0,3,0
