species,common_name,lat,lon,year,state_code
red_kangaroo,Red Kangaroo,-31.2501,140.68,1996,SA
red_kangaroo,Red Kangaroo,-22.701,135.2423,1999,NT
red_kangaroo,Red Kangaroo,-34.2302,142.5382,2017,NSW
red_kangaroo,Red Kangaroo,-25.9015,132.758,2001,NT
red_kangaroo,Red Kangaroo,-31.4958,138.6416,2019,SA
red_kangaroo,Red Kangaroo,-19.5486,132.2512,1982,NT
red_kangaroo,Red Kangaroo,-30.3801,134.85,1994,SA
red_kangaroo,Red Kangaroo,-31.8801,140.62,2007,SA
red_kangaroo,Red Kangaroo,-31.989,140.0729,2020,SA
red_kangaroo,Red Kangaroo,-32.3801,135.76,1995,SA
red_kangaroo,Red Kangaroo,-31.875,140.371,2008,SA
red_kangaroo,Red Kangaroo,-31.989,140.0729,2021,SA
red_kangaroo,Red Kangaroo,-31.3801,136.19,1990,SA
red_kangaroo,Red Kangaroo,-31.9391,140.0765,2022,SA
red_kangaroo,Red Kangaroo,-32.0162,139.8985,2021,SA
red_kangaroo,Red Kangaroo,-30.3801,133.77,2000,SA
red_kangaroo,Red Kangaroo,-31.4185,138.5582,2020,SA
red_kangaroo,Red Kangaroo,-31.6301,140.51,1980,SA
red_kangaroo,Red Kangaroo,-32.3801,139.29,1990,SA
red_kangaroo,Red Kangaroo,-31.989,140.0729,2023,SA
red_kangaroo,Red Kangaroo,-32.0361,140.6047,2020,SA
red_kangaroo,Red Kangaroo,-29.6301,133.52,1996,SA
red_kangaroo,Red Kangaroo,-34.1832,142.6717,2025,NSW
red_kangaroo,Red Kangaroo,-31.9235,140.0731,2020,SA
red_kangaroo,Red Kangaroo,-34.2139,142.5702,2023,NSW
red_kangaroo,Red Kangaroo,-29.8801,135.73,2007,SA
red_kangaroo,Red Kangaroo,-30.5715,139.0359,2023,SA
red_kangaroo,Red Kangaroo,-30.3801,138.52,1992,SA
red_kangaroo,Red Kangaroo,-29.4331,146.6702,1995,NSW
